SH4;NCM_curto
3203;Corantes  
8484;Juntas metaloplásticas
9031;Instrumentos, aparelhos e máquinas de medida ou controle
3209;Tintas e vernizes sintéticos
8408;Motores de pistão, de ignição por compressão
8443;Impressoras
1602;Preparações e conservações de carne
2009;Sucos de frutas
7304;Tubos e perfis ocos, de ferro ou aço
1209;Sementes, frutos e esporos, para semeadura
2921;Compostos de função anima
5608;Redes de malhas com nós, em panos ou em peça
8209;Plaquetas, varetas, pontas e objetos semelhantes para ferramentas
8525;Aparelhos transmissores (emissores) para radiodifusão ou televisão
8207;Ferramentas intercambiáveis para ferramentas manuais, mesmo mecânicas, ou para máquinas-ferramentas
6105;Camisas de malha, de uso masculino
5607;Cordéis, cordas e cabos
3924;Artigos de cozinha, de uso doméstico e de higiene
3207;Pigmentos
3925;Artigos para apetrechamento de construções
8476;Máquinas automáticas de venda de produtos (por exemplo, selos, cigarros, alimentos ou bebidas), incluindo as máquinas de trocar dinheiro.
4909;"Cartões-postais impressos ou ilustrados; cartões impressos com votos ou mensagens pessoais"
8513;Lanternas elétricas
2007;Doces, geleias, marmelades, purês e pastas de fruta
6004;Tecidos de malha, que contenham, em peso, 5 % ou mais de fios de elastômeros ou de fios de borracha
6103;Ternos, conjuntos, paletós, calças, jardineiras, bermudas e shorts, de malha, de uso masculino
5807;Etiquetas, emblemas e artigos semelhantes de matérias têxteis
602;Outras plantas vivas (incluindo as suas raízes)
1207;Outras sementes e frutos oleaginosos
1515;Outras gorduras e óleos vegetais 
2519;Carbonato de magnésio natural (magnesita)
2827;"Cloretos, oxicloretos e hidroxicloretos; brometos e oxibrometos; iodetos e oxiiodetos"
2709;Óleos brutos de petróleo ou de minerais betuminosos
4703;Pastas químicas de madeira, à soda ou ao sulfato
7201;Ferro fundido bruto e ferro spiegel
7207;Produtos semimanufaturados de ferro ou aço não ligado
8802;Outros veículos aéreos (por exemplo, helicópteros, aviões)
2701;"Hulhas; briquetes, bolas e combustíveis sólidos semelhantes"
8411;Turborreatores, turbopropulsores e outras turbinas a gás.
